url,route_pattern,template,title,h1,meta_description,content_type,category,subcategory,price_aud,featured,badge,photo_count,colour_parts,options_count,material,finish,hex,status_stock,indexable,status,word_count,media_owner,license,migration_decision,source_copy_excerpt,landing_subtext,notes
https://clarky3d.com/,/,home/featured,Clarky3D,,,landing,,,,,,,,,,,,,yes,200,dynamic,unknown,unknown,keep,,,SPA shell; client title/canonical update; featured catalogue landing
https://clarky3d.com/#colours,/#colours,colours,Colours — Clarky3D,,,filament-library,,,,,,,,,,,,,partial,200,dynamic,unknown,unknown,keep,,,Hash/client route; also nav button COLOURS
https://clarky3d.com/?p={Category}/{Sub}/{Product},/?p=,product-detail,{Product} — Clarky3D,,,product,,,,,,,,,,,,,yes-via-sitemap,200,dynamic,unknown,unknown,keep,,,Client-side product route; sitemap lists 16 products
https://clarky3d.com/#Hotwheels etc,/#{Category},category,{Category} — Clarky3D,,,category,,,,,,,,,,,,,partial,200,dynamic,n/a,n/a,keep,,,Category browse via hash/client nav
cart drawer,ui:cart,cart-drawer,n/a,,,interaction,,,,,,,,,,,,,no,client,n/a,n/a,n/a,keep,,,No dedicated URL; Telegram order CTA
https://clarky3d.com/admin,/admin,admin,Clarky3D Admin,,,admin,,,,,,,,,,,,,no,200,n/a,n/a,n/a,keep-or-replace,,,robots noindex; Netlify Identity; separate JS bundle
https://clarky3d.com/admin.html,/admin.html,admin,Clarky3D Admin,,,admin,,,,,,,,,,,,,no,200,n/a,n/a,n/a,redirect-or-remove,,,Alias of /admin
https://clarky3d.com/robots.txt,/robots.txt,robots,n/a,,,seo,,,,,,,,,,,,,n/a,200,n/a,n/a,n/a,replace,,,Disallows /admin*; Sitemap points to unresolved print.clarkyau.com
https://clarky3d.com/sitemap.xml,/sitemap.xml,sitemap,n/a,,,seo,,,,,,,,,,,,,n/a,200,n/a,n/a,n/a,replace,,,16 URLs: home + 15? actually 1+16 product entries wait count
https://clarky3d.com/api/bootstrap,/api/bootstrap,api,n/a,,,api-json,,,,,,,,,,,,,no,200,n/a,n/a,n/a,replace,,,Catalogue + settings JSON
https://clarky3d.com/api/filaments,/api/filaments,api,n/a,,,api-json,,,,,,,,,,,,,no,200,n/a,n/a,n/a,replace,,,14 filament records
https://clarky3d.com/api/photos/{id},/api/photos/:id,api-media,n/a,,,image,,,,,,,,,,,,,no,200,n/a,unknown,unknown,migrate-assets,,,Observed ids 8-25 with gaps
https://clarky3d.com/privacy,/privacy,legal,Privacy Policy,,,policy,,,,,,,,,,,,,yes,new-route,owner-doc,n/a,n/a,create,,,Owner Google Doc branded for Clarky3D
https://clarky3d.com/terms,/terms,legal,Terms and Conditions,,,policy,,,,,,,,,,,,,yes,new-route,owner-doc,n/a,n/a,create,,,Owner Google Doc branded for Clarky3D
https://clarky3d.com/sms-terms,/sms-terms,legal,SMS Terms,,,policy,,,,,,,,,,,,,yes,new-route,owner-doc,n/a,n/a,create,,,SMS section split from owner Terms doc
https://clarky3d.com/accessibility,/accessibility,missing,n/a,,,policy,,,,,,,,,,,,,n/a,missing,0,n/a,n/a,create,,,No accessibility statement observed
https://clarky3d.com/contact,/contact,missing,n/a,,,form,,,,,,,,,,,,,n/a,missing,0,n/a,n/a,decide,,,No HTML form; ordering via Telegram deep link
